,type,url,review_rating,film_name,no_of_reviewer
97,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,97%,Mission: Impossible - Fallout (2018),437
98,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,96%,BlacKkKlansman (2018),447
99,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,95%,The Irishman (2019),455
100,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,97%,The Godfather (1972),133
101,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,99%,All About Eve (1950),103
102,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,98%,Moonlight (2016),393
103,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,93%,Wonder Woman (2017),471
104,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,96%,Roma (2018),400
105,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,93%,Us (2019),552
106,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,Get Out (2017),397
107,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),67
108,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,96%,A Quiet Place (2018),387
109,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",67
110,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,King Kong (1933),66
111,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,96%,Psycho (1960),104
112,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,91%,The Invisible Man (2020),410
113,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,The Bride of Frankenstein (1935),47
114,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,The Babadook (2014),241
115,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,100%,Frankenstein (1931),49
116,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,90%,The Lighthouse (2019),381
117,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,89%,Hereditary (2018),382
118,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,95%,It Follows (2015),265
119,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,Let the Right One In (2008),191
120,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,99%,The Wizard of Oz (1939),145
121,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,97%,Toy Story 4 (2019),452
122,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392
123,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Inside Out (2015),376
124,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,97%,Coco (2017),352
125,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Snow White and the Seven Dwarfs (1937),54
126,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,E.T. The Extra-Terrestrial (1982),133
127,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,93%,Incredibles 2 (2018),387
128,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,99%,Paddington 2 (2018),246
129,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Up (2009),298
130,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Toy Story 3 (2010),309
131,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,100%,Toy Story 2 (1999),169
132,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,100%,Pinocchio (1940),56
133,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,99%,Finding Nemo (2003),269
134,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,94%,The Jungle Book (2016),326
135,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,99%,The Wizard of Oz (1939),145
136,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,97%,A Night at the Opera (1935),69
137,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,100%,Singin' in the Rain (1952),67
138,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,96%,An American in Paris (1951),94
139,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,91%,La La Land (2016),465
140,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,98%,A Hard Day's Night (1964),110
141,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,100%,Top Hat (1935),42
142,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,100%,Pinocchio (1940),56
143,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,97%,The Red Shoes (1948),60
144,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,99%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),67
145,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,99%,Amazing Grace (2019),160
146,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,97%,Hamilton (2020),199
147,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,98%,Gentlemen Prefer Blondes (1953),45
148,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,99%,20 Feet From Stardom (2013),128
149,Top 100 Musical & Performing Arts Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_musical__performing_arts_movies/,95%,Amy (2015),225
150,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,99%,Citizen Kane (1941),117
151,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,97%,Knives Out (2019),467
152,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,93%,Us (2019),552
153,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,97%,Mission: Impossible - Fallout (2018),437
154,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,98%,Get Out (2017),397
155,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,95%,The Irishman (2019),455
156,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),67
157,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,100%,Rebecca (1940),94
158,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,96%,A Quiet Place (2018),387
159,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,98%,Rear Window (1954),122
160,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,97%,Spotlight (2015),376
161,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,99%,The Third Man (1949),84
162,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,94%,Arrival (2016),434
163,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,96%,Argo (2012),360
164,Top 100 Mystery & Suspense Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_mystery__suspense_movies/,100%,The Maltese Falcon (1941),62
165,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,99%,It Happened One Night (1934),97
166,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,99%,Casablanca (1942),124
167,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,100%,The Philadelphia Story (1940),101
168,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,92%,The Shape of Water (2017),459
169,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,97%,A Night at the Opera (1935),69
170,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,100%,Singin' in the Rain (1952),67
171,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,99%,On the Waterfront (1954),105
172,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,96%,An American in Paris (1951),94
173,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,98%,The Big Sick (2017),303
174,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,98%,The Best Years of Our Lives (1946),91
175,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,100%,The Adventures of Robin Hood (1938),48
176,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,94%,Call Me by Your Name (2018),363
177,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,100%,Top Hat (1935),42
178,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,100%,The Lady Eve (1941),47
179,Top 100 Romance Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_romance_movies/,94%,Vertigo (1958),84
180,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,96%,Black Panther (2018),525
181,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,99%,The Wizard of Oz (1939),145
182,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,94%,Avengers: Endgame (2019),546
183,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,97%,Toy Story 4 (2019),452
184,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,97%,Mad Max: Fury Road (2015),433
185,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392
186,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,93%,Wonder Woman (2017),471
187,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,91%,Star Wars: The Last Jedi (2017),482
188,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,92%,The Shape of Water (2017),459
189,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,93%,Thor: Ragnarok (2017),436
190,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,94%,Arrival (2016),434
191,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,93%,Logan (2017),423
192,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,98%,Snow White and the Seven Dwarfs (1937),54
193,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,93%,Star Wars: Episode VII - The Force Awakens (2015),443
194,Top 100 Science Fiction & Fantasy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_science_fiction__fantasy_movies/,98%,E.T. The Extra-Terrestrial (1982),133
195,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,The Bride of Frankenstein (1935),47
196,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,100%,Frankenstein (1931),49
197,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,Life Itself (2014),203
198,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,100%,Man on Wire (2008),158
